CustomerID,Age,Gender,City,Experience,Salary,Purchased,SignupDate,Country
1,37.0,Female,New York,6.0,45820.23010208056,Yes,2022-01-01,USA
2,,Female,New York,19.0,96079.52598101435,Yes,2022-01-02,USA
3,32.0,Male,Tokyo,14.0,71020.1537137694,No,2022-01-03,USA
4,36.0,Male,Tokyo,10.0,59799.22863362624,No,2022-01-04,USA
5,44.0,Male,New York,7.0,60672.27060743634,Yes,2022-01-05,USA
6,39.0,Female,Delhi,20.0,105293.05522860495,No,2022-01-06,USA
7,28.0,Male,Berlin,6.0,50486.35141384117,No,2022-01-07,USA
8,51.0,Female,Berlin,18.0,91137.34091498182,No,2022-01-08,USA
9,41.0,Male,Tokyo,22.0,107234.03560922737,Yes,2022-01-09,USA
10,37.0,Male,Berlin,10.0,74391.9877138013,No,2022-01-10,USA
11,43.0,Male,New York,10.0,66619.9020350821,No,2022-01-11,USA
12,57.0,Female,New York,23.0,114138.95269983927,No,2022-01-12,USA
13,36.0,Female,Tokyo,20.0,99190.16989667379,No,2022-01-13,USA
14,26.0,Male,Tokyo,3.0,40743.58642846864,No,2022-01-14,USA
15,28.0,Male,Tokyo,7.0,57088.65078714817,Yes,2022-01-15,USA
16,45.0,Male,Delhi,23.0,111004.37931129611,No,2022-01-16,USA
17,38.0,Female,Berlin,2.0,29410.49207004537,No,2022-01-17,USA
18,45.0,Male,Tokyo,21.0,108622.16304670986,Yes,2022-01-18,USA
19,32.0,Female,London,20.0,97539.46528891468,No,2022-01-19,USA
20,35.0,Male,London,1.0,41945.270566465006,Yes,2022-01-20,USA
21,46.0,Male,New York,23.0,113247.39405106388,Yes,2022-01-21,USA
22,46.0,Male,Berlin,11.0,68783.88966255898,No,2022-01-22,USA
23,52.0,Male,Tokyo,5.0,49257.30856041374,No,2022-01-23,USA
24,30.0,Male,London,1.0,33066.008445745945,No,2022-01-24,USA
25,36.0,Male,Berlin,20.0,98054.26893579056,Yes,2022-01-25,USA
26,27.0,Female,New York,0.0,,No,2022-01-26,USA
27,37.0,Male,Delhi,11.0,72039.96186874666,Yes,2022-01-27,USA
28,43.0,Female,Berlin,21.0,101641.88100542013,Yes,2022-01-28,USA
29,46.0,Male,Berlin,11.0,66011.05134037488,No,2022-01-29,USA
30,41.0,Male,Delhi,24.0,112578.04543633456,No,2022-01-30,USA
31,42.0,Female,Berlin,16.0,,No,2022-01-31,USA
32,27.0,Male,New York,9.0,67310.20098984949,Yes,2022-02-01,USA
33,34.0,Female,New York,15.0,83948.05564776988,No,2022-02-02,USA
34,35.0,Female,Delhi,14.0,81325.2565361429,No,2022-02-03,USA
35,27.0,Male,Tokyo,14.0,76481.19657093954,No,2022-02-04,USA
36,29.0,Female,London,18.0,96507.01859980931,No,2022-02-05,USA
37,28.0,Female,Tokyo,11.0,70706.94804186029,Yes,2022-02-06,USA
38,43.0,Male,Berlin,22.0,104159.48816829006,Yes,2022-02-07,USA
39,49.0,Female,London,19.0,89349.31355227287,No,2022-02-08,USA
40,38.0,Male,Delhi,24.0,109117.71958287258,Yes,2022-02-09,USA
41,51.0,Male,Delhi,2.0,34323.18908727515,Yes,2022-02-10,USA
42,50.0,Male,London,4.0,48647.7492709871,No,2022-02-11,USA
43,59.0,Male,New York,18.0,99211.4391033573,No,2022-02-12,USA
44,55.0,Female,London,6.0,49241.92849810289,No,2022-02-13,USA
45,38.0,Male,Berlin,20.0,98368.33858891482,No,2022-02-14,USA
46,59.0,Male,New York,8.0,59046.492223889865,No,2022-02-15,USA
47,37.0,Female,Delhi,6.0,51048.5860362929,Yes,2022-02-16,USA
48,34.0,Male,London,17.0,93223.73633589632,Yes,2022-02-17,USA
49,51.0,Male,Tokyo,3.0,38407.24762565156,Yes,2022-02-18,USA
50,44.0,Female,Tokyo,24.0,117796.57195112399,Yes,2022-02-19,USA
51,55.0,Female,Berlin,13.0,74543.10080852098,No,2022-02-20,USA
52,54.0,Female,Tokyo,17.0,92915.89884427142,Yes,2022-02-21,USA
53,23.0,Female,London,8.0,56915.83815084583,No,2022-02-22,USA
54,57.0,Female,London,20.0,97547.62126836649,Yes,2022-02-23,USA
55,46.0,Female,Tokyo,1.0,41149.27055935988,Yes,2022-02-24,USA
56,43.0,Female,London,19.0,100760.90833018767,No,2022-02-25,USA
57,59.0,Male,Berlin,14.0,71831.81959945914,Yes,2022-02-26,USA
58,35.0,Female,New York,6.0,49212.90595284037,Yes,2022-02-27,USA
59,24.0,Female,Berlin,11.0,73319.6916871143,Yes,2022-02-28,USA
60,49.0,Female,Berlin,7.0,49713.35812314591,Yes,2022-03-01,USA
61,42.0,Male,London,14.0,82082.71331809244,No,2022-03-02,USA
62,45.0,Male,New York,2.0,39668.224413879165,Yes,2022-03-03,USA
63,33.0,Female,London,13.0,72703.41368763233,Yes,2022-03-04,USA
64,38.0,Female,Delhi,16.0,,No,2022-03-05,USA
65,53.0,Female,London,3.0,32139.92900547888,Yes,2022-03-06,USA
66,36.0,Male,London,17.0,96581.72606626687,No,2022-03-07,USA
67,22.0,Male,London,7.0,53263.62996321231,No,2022-03-08,USA
68,55.0,Female,New York,3.0,43715.252205505036,No,2022-03-09,USA
69,54.0,Male,London,1.0,35955.3653659017,No,2022-03-10,USA
70,50.0,Female,New York,5.0,52931.523152399954,Yes,2022-03-11,USA
71,33.0,Male,Tokyo,21.0,101766.78637238976,No,2022-03-12,USA
